id,name,rate
2090,"Fairbanks North Star Borough, Alaska",2205
2100,"Haines Borough, Alaska",140
2105,"Hoonah-Angoon Census Area, Alaska",56
2110,"Juneau City and Borough, Alaska",1054
2122,"Kenai Peninsula Borough, Alaska",684
2130,"Ketchikan Gateway Borough, Alaska",347
2150,"Kodiak Island Borough, Alaska",971
2158,"Kusilvak Census Area, Alaska",48
2164,"Lake and Peninsula Borough, Alaska",42
2170,"Matanuska-Susitna Borough, Alaska",1642
2180,"Nome Census Area, Alaska",84
2185,"North Slope Borough, Alaska",353
2188,"Northwest Arctic Borough, Alaska",38
2195,"Petersburg Borough, Alaska",128
2198,"Prince of Wales-Hyder Census Area, Alaska",55
2220,"Sitka City and Borough, Alaska",358
2230,"Skagway Municipality, Alaska",73
2240,"Southeast Fairbanks Census Area, Alaska",310
2261,"Valdez-Cordova Census Area, Alaska",160
2275,"Wrangell City and Borough, Alaska",55
2282,"Yakutat City and Borough, Alaska",8
2290,"Yukon-Koyukuk Census Area, Alaska",43
4001,"Apache County, Arizona",1008
4003,"Cochise County, Arizona",7493
4005,"Coconino County, Arizona",4596
4007,"Gila County, Arizona",1123
4009,"Graham County, Arizona",1242
4011,"Greenlee County, Arizona",263
4012,"La Paz County, Arizona",1825
4013,"Maricopa County, Arizona",373131
4015,"Mohave County, Arizona",8190
4017,"Navajo County, Arizona",1630
4019,"Pima County, Arizona",69150
4021,"Pinal County, Arizona",24823
4023,"Santa Cruz County, Arizona",7176
4025,"Yavapai County, Arizona",7919
4027,"Yuma County, Arizona",32254
5001,"Arkansas County, Arkansas",337
5003,"Ashley County, Arkansas",339
5005,"Baxter County, Arkansas",328
5007,"Benton County, Arkansas",19353
5009,"Boone County, Arkansas",137
5011,"Bradley County, Arkansas",652
5013,"Calhoun County, Arkansas",11
5015,"Carroll County, Arkansas",1461
5017,"Chicot County, Arkansas",249
5019,"Clark County, Arkansas",337
5021,"Clay County, Arkansas",53
5023,"Cleburne County, Arkansas",182
5025,"Cleveland County, Arkansas",91
5027,"Columbia County, Arkansas",679
5029,"Conway County, Arkansas",335
5031,"Craighead County, Arkansas",2755
5033,"Crawford County, Arkansas",1706
5035,"Crittenden County, Arkansas",570
5037,"Cross County, Arkansas",27
5039,"Dallas County, Arkansas",93
5041,"Desha County, Arkansas",312
5043,"Drew County, Arkansas",169
5045,"Faulkner County, Arkansas",2281
5047,"Franklin County, Arkansas",16
5049,"Fulton County, Arkansas",80
5051,"Garland County, Arkansas",1549
5053,"Grant County, Arkansas",196
5055,"Greene County, Arkansas",334
5057,"Hempstead County, Arkansas",1311
5059,"Hot Spring County, Arkansas",233
5061,"Howard County, Arkansas",645
5063,"Independence County, Arkansas",654
5065,"Izard County, Arkansas",211
5067,"Jackson County, Arkansas",82
5069,"Jefferson County, Arkansas",751
5071,"Johnson County, Arkansas",1605
5073,"Lafayette County, Arkansas",13
5075,"Lawrence County, Arkansas",99
5077,"Lee County, Arkansas",40
5079,"Lincoln County, Arkansas",173
5081,"Little River County, Arkansas",69
5083,"Logan County, Arkansas",231
5085,"Lonoke County, Arkansas",665
5087,"Madison County, Arkansas",300
5089,"Marion County, Arkansas",91
5091,"Miller County, Arkansas",176
5093,"Mississippi County, Arkansas",594
5095,"Monroe County, Arkansas",50
5097,"Montgomery County, Arkansas",77
5099,"Nevada County, Arkansas",58
5101,"Newton County, Arkansas",31
5103,"Ouachita County, Arkansas",143
5105,"Perry County, Arkansas",57
5107,"Phillips County, Arkansas",75
5109,"Pike County, Arkansas",396
5111,"Poinsett County, Arkansas",180
5113,"Polk County, Arkansas",436
5115,"Pope County, Arkansas",2130
5117,"Prairie County, Arkansas",1
5119,"Pulaski County, Arkansas",13427
5121,"Randolph County, Arkansas",67
5123,"St. Francis County, Arkansas",491
5125,"Saline County, Arkansas",1334
5127,"Scott County, Arkansas",258
5129,"Searcy County, Arkansas",41
5131,"Sebastian County, Arkansas",7679
5133,"Sevier County, Arkansas",2497
5135,"Sharp County, Arkansas",63
5137,"Stone County, Arkansas",13
5139,"Union County, Arkansas",613
5141,"Van Buren County, Arkansas",214
5143,"Washington County, Arkansas",19807
5145,"White County, Arkansas",1295
5147,"Woodruff County, Arkansas",34
5149,"Yell County, Arkansas",1902
6001,"Alameda County, California",233980
6003,"Alpine County, California",15
6005,"Amador County, California",920
6007,"Butte County, California",8003
6009,"Calaveras County, California",1216
6011,"Colusa County, California",3317
6013,"Contra Costa County, California",125069
6015,"Del Norte County, California",832
6017,"El Dorado County, California",8130
6019,"Fresno County, California",128740
6021,"Glenn County, California",3403
6023,"Humboldt County, California",4293
6025,"Imperial County, California",31268
6027,"Inyo County, California",1076
6029,"Kern County, California",119052
6031,"Kings County, California",18800
6033,"Lake County, California",3159
6035,"Lassen County, California",1619
6037,"Los Angeles County, California",1777416
6039,"Madera County, California",24831
6041,"Marin County, California",25558
6043,"Mariposa County, California",654
6045,"Mendocino County, California",7289
6047,"Merced County, California",42236
6049,"Modoc County, California",455
6051,"Mono County, California",2024
6053,"Monterey County, California",92756
6055,"Napa County, California",19499
6057,"Nevada County, California",3034
6059,"Orange County, California",465378
6061,"Placer County, California",16320
6063,"Plumas County, California",543
6065,"Riverside County, California",274661
6067,"Sacramento County, California",132978
6069,"San Benito County, California",7186
6071,"San Bernardino County, California",237974
6073,"San Diego County, California",385071
6075,"San Francisco County, California",115186
6077,"San Joaquin County, California",88257
6079,"San Luis Obispo County, California",16612
6081,"San Mateo County, California",114531
6083,"Santa Barbara County, California",65994
6085,"Santa Clara County, California",329779
6087,"Santa Cruz County, California",31290
6089,"Shasta County, California",4302
6091,"Sierra County, California",65
6093,"Siskiyou County, California",1217
6095,"Solano County, California",38352
6097,"Sonoma County, California",47842
6099,"Stanislaus County, California",63499
6101,"Sutter County, California",11029
6103,"Tehama County, California",2760
6105,"Trinity County, California",493
6107,"Tulare County, California",71854
6109,"Tuolumne County, California",1206
6111,"Ventura County, California",104440
6113,"Yolo County, California",25084
6115,"Yuba County, California",4896
8001,"Adams County, Colorado",49304
8003,"Alamosa County, Colorado",937
8005,"Arapahoe County, Colorado",52281
8007,"Archuleta County, Colorado",339
8009,"Baca County, Colorado",57
8011,"Bent County, Colorado",328
8013,"Boulder County, Colorado",19925
8014,"Broomfield County, Colorado",2841
8015,"Chaffee County, Colorado",248
8017,"Cheyenne County, Colorado",76
8019,"Clear Creek County, Colorado",190
8021,"Conejos County, Colorado",168
8023,"Costilla County, Colorado",182
8025,"Crowley County, Colorado",197
8027,"Custer County, Colorado",50
8029,"Delta County, Colorado",781
8031,"Denver County, Colorado",70550
8033,"Dolores County, Colorado",5
8035,"Douglas County, Colorado",10168
8037,"Eagle County, Colorado",7679
8039,"Elbert County, Colorado",665
8041,"El Paso County, Colorado",22419
8043,"Fremont County, Colorado",919
8045,"Garfield County, Colorado",6656
8047,"Gilpin County, Colorado",58
8049,"Grand County, Colorado",461
8051,"Gunnison County, Colorado",352
8053,"Hinsdale County, Colorado",0
8055,"Huerfano County, Colorado",47
8057,"Jackson County, Colorado",52
8059,"Jefferson County, Colorado",18137
8061,"Kiowa County, Colorado",27
8063,"Kit Carson County, Colorado",588
8065,"Lake County, Colorado",675
8067,"La Plata County, Colorado",1087
8069,"Larimer County, Colorado",9628
8071,"Las Animas County, Colorado",348
8073,"Lincoln County, Colorado",312
8075,"Logan County, Colorado",1124
8077,"Mesa County, Colorado",2926
8079,"Mineral County, Colorado",0
8081,"Moffat County, Colorado",468
8083,"Montezuma County, Colorado",378
8085,"Montrose County, Colorado",1952
8087,"Morgan County, Colorado",2664
8089,"Otero County, Colorado",713
8091,"Ouray County, Colorado",82
8093,"Park County, Colorado",421
8095,"Phillips County, Colorado",247
8097,"Pitkin County, Colorado",1399
8099,"Prowers County, Colorado",1049
8101,"Pueblo County, Colorado",3932
8103,"Rio Blanco County, Colorado",159
8105,"Rio Grande County, Colorado",421
8107,"Routt County, Colorado",921
8109,"Saguache County, Colorado",493
8111,"San Juan County, Colorado",9
8113,"San Miguel County, Colorado",346
8115,"Sedgwick County, Colorado",57
8117,"Summit County, Colorado",2350
8119,"Teller County, Colorado",228
8121,"Washington County, Colorado",104
8123,"Weld County, Colorado",14238
8125,"Yuma County, Colorado",812
9001,"Fairfield County, Connecticut",110011
9003,"Hartford County, Connecticut",64205
9005,"Litchfield County, Connecticut",6053
9007,"Middlesex County, Connecticut",5532
9009,"New Haven County, Connecticut",53469
9011,"New London County, Connecticut",9528
9013,"Tolland County, Connecticut",5012
9015,"Windham County, Connecticut",3265
10001,"Kent County, Delaware",4244
10003,"New Castle County, Delaware",30752
10005,"Sussex County, Delaware",8774
11001,"District of Columbia, District of Columbia",54854
12001,"Alachua County, Florida",13972
12003,"Baker County, Florida",167
12005,"Bay County, Florida",3925
12007,"Bradford County, Florida",260
12009,"Brevard County, Florida",17560
12011,"Broward County, Florida",259116
12013,"Calhoun County, Florida",355
12015,"Charlotte County, Florida",7162
12017,"Citrus County, Florida",2386
12019,"Clay County, Florida",4583
12021,"Collier County, Florida",47525
12023,"Columbia County, Florida",1146
12027,"DeSoto County, Florida",4798
12029,"Dixie County, Florida",231
12031,"Duval County, Florida",40057
12033,"Escambia County, Florida",7106
12035,"Flagler County, Florida",3806
12037,"Franklin County, Florida",222
12039,"Gadsden County, Florida",1951
12041,"Gilchrist County, Florida",366
12043,"Glades County, Florida",1283
12045,"Gulf County, Florida",157
12047,"Hamilton County, Florida",475
12049,"Hardee County, Florida",3688
12051,"Hendry County, Florida",6918
12053,"Hernando County, Florida",3639
12055,"Highlands County, Florida",5896
12057,"Hillsborough County, Florida",107328
12059,"Holmes County, Florida",350
12061,"Indian River County, Florida",7599
12063,"Jackson County, Florida",1038
12065,"Jefferson County, Florida",207
12067,"Lafayette County, Florida",530
12069,"Lake County, Florida",10034
12071,"Lee County, Florida",57496
12073,"Leon County, Florida",10236
12075,"Levy County, Florida",777
12077,"Liberty County, Florida",292
12079,"Madison County, Florida",372
12081,"Manatee County, Florida",25319
12083,"Marion County, Florida",9774
12085,"Martin County, Florida",9032
12086,"Miami-Dade County, Florida",623639
12087,"Monroe County, Florida",6800
12089,"Nassau County, Florida",781
12091,"Okaloosa County, Florida",5233
12093,"Okeechobee County, Florida",3630
12095,"Orange County, Florida",123757
12097,"Osceola County, Florida",29015
12099,"Palm Beach County, Florida",163897
12101,"Pasco County, Florida",18427
12103,"Pinellas County, Florida",46860
12105,"Polk County, Florida",37051
12107,"Putnam County, Florida",2035
12109,"St. Johns County, Florida",4933
12111,"St. Lucie County, Florida",18954
12113,"Santa Rosa County, Florida",3009
12115,"Sarasota County, Florida",21348
12117,"Seminole County, Florida",19994
12119,"Sumter County, Florida",2461
12121,"Suwannee County, Florida",1669
12123,"Taylor County, Florida",282
12125,"Union County, Florida",311
12127,"Volusia County, Florida",16913
12129,"Wakulla County, Florida",299
12131,"Walton County, Florida",1524
12133,"Washington County, Florida",236
13001,"Appling County, Georgia",513
13003,"Atkinson County, Georgia",1000
13005,"Bacon County, Georgia",621
13007,"Baker County, Georgia",50
13009,"Baldwin County, Georgia",847
13011,"Banks County, Georgia",363
13013,"Barrow County, Georgia",2963
13015,"Bartow County, Georgia",3422
13017,"Ben Hill County, Georgia",354
13019,"Berrien County, Georgia",320
13021,"Bibb County, Georgia",3414
13023,"Bleckley County, Georgia",139
13025,"Brantley County, Georgia",53
13027,"Brooks County, Georgia",448
13029,"Bryan County, Georgia",636
13031,"Bulloch County, Georgia",1826
13033,"Burke County, Georgia",307
13035,"Butts County, Georgia",502
13037,"Calhoun County, Georgia",240
13039,"Camden County, Georgia",954
13043,"Candler County, Georgia",445
13045,"Carroll County, Georgia",3010
13047,"Catoosa County, Georgia",759
13049,"Charlton County, Georgia",1144
13051,"Chatham County, Georgia",11600
13053,"Chattahoochee County, Georgia",377
13055,"Chattooga County, Georgia",595
13057,"Cherokee County, Georgia",12334
13059,"Clarke County, Georgia",8696
13061,"Clay County, Georgia",0
13063,"Clayton County, Georgia",24051
13065,"Clinch County, Georgia",112
13067,"Cobb County, Georgia",65405
13069,"Coffee County, Georgia",1690
13071,"Colquitt County, Georgia",4591
13073,"Columbia County, Georgia",4009
13075,"Cook County, Georgia",436
13077,"Coweta County, Georgia",4762
13079,"Crawford County, Georgia",89
13081,"Crisp County, Georgia",249
13083,"Dade County, Georgia",137
13085,"Dawson County, Georgia",472
13087,"Decatur County, Georgia",584
13089,"DeKalb County, Georgia",72588
13091,"Dodge County, Georgia",389
13093,"Dooly County, Georgia",461
13095,"Dougherty County, Georgia",1325
13097,"Douglas County, Georgia",5953
13099,"Early County, Georgia",61
13101,"Echols County, Georgia",520
13103,"Effingham County, Georgia",738
13105,"Elbert County, Georgia",446
13107,"Emanuel County, Georgia",138
13109,"Evans County, Georgia",496
13111,"Fannin County, Georgia",156
13113,"Fayette County, Georgia",5035
13115,"Floyd County, Georgia",4708
13117,"Forsyth County, Georgia",15741
13119,"Franklin County, Georgia",443
13121,"Fulton County, Georgia",73078
13123,"Gilmer County, Georgia",1328
13125,"Glascock County, Georgia",17
13127,"Glynn County, Georgia",2777
13129,"Gordon County, Georgia",3989
13131,"Grady County, Georgia",1360
13133,"Greene County, Georgia",644
13135,"Gwinnett County, Georgia",118526
13137,"Habersham County, Georgia",2688
13139,"Hall County, Georgia",22126
13141,"Hancock County, Georgia",205
13143,"Haralson County, Georgia",145
13145,"Harris County, Georgia",152
13147,"Hart County, Georgia",416
13149,"Heard County, Georgia",21
13151,"Henry County, Georgia",6618
13153,"Houston County, Georgia",4767
13155,"Irwin County, Georgia",39
13157,"Jackson County, Georgia",1594
13159,"Jasper County, Georgia",380
13161,"Jeff Davis County, Georgia",613
13163,"Jefferson County, Georgia",257
13165,"Jenkins County, Georgia",347
13167,"Johnson County, Georgia",1
13169,"Jones County, Georgia",131
13171,"Lamar County, Georgia",220
13173,"Lanier County, Georgia",120
13175,"Laurens County, Georgia",745
13177,"Lee County, Georgia",495
13179,"Liberty County, Georgia",1553
13181,"Lincoln County, Georgia",44
13183,"Long County, Georgia",969
13185,"Lowndes County, Georgia",3059
13187,"Lumpkin County, Georgia",903
13189,"McDuffie County, Georgia",299
13191,"McIntosh County, Georgia",46
13193,"Macon County, Georgia",219
13195,"Madison County, Georgia",693
13197,"Marion County, Georgia",278
13199,"Meriwether County, Georgia",174
13201,"Miller County, Georgia",9
13205,"Mitchell County, Georgia",403
13207,"Monroe County, Georgia",211
13209,"Montgomery County, Georgia",267
13211,"Morgan County, Georgia",191
13213,"Murray County, Georgia",2037
13215,"Muscogee County, Georgia",5840
13217,"Newton County, Georgia",2713
13219,"Oconee County, Georgia",1047
13221,"Oglethorpe County, Georgia",193
13223,"Paulding County, Georgia",3136
13225,"Peach County, Georgia",1118
13227,"Pickens County, Georgia",505
13229,"Pierce County, Georgia",349
13231,"Pike County, Georgia",106
13233,"Polk County, Georgia",2351
13235,"Pulaski County, Georgia",199
13237,"Putnam County, Georgia",1015
13239,"Quitman County, Georgia",0
13241,"Rabun County, Georgia",845
13243,"Randolph County, Georgia",10
13245,"Richmond County, Georgia",3708
13247,"Rockdale County, Georgia",4532
13249,"Schley County, Georgia",73
13251,"Screven County, Georgia",50
13253,"Seminole County, Georgia",82
13255,"Spalding County, Georgia",1148
13257,"Stephens County, Georgia",430
13259,"Stewart County, Georgia",1497
13261,"Sumter County, Georgia",580
13263,"Talbot County, Georgia",39
13265,"Taliaferro County, Georgia",20
13267,"Tattnall County, Georgia",904
13269,"Taylor County, Georgia",54
13271,"Telfair County, Georgia",1895
13273,"Terrell County, Georgia",37
13275,"Thomas County, Georgia",739
13277,"Tift County, Georgia",1608
13279,"Toombs County, Georgia",1255
13281,"Towns County, Georgia",120
13283,"Treutlen County, Georgia",65
13285,"Troup County, Georgia",1868
13287,"Turner County, Georgia",327
13289,"Twiggs County, Georgia",13
13291,"Union County, Georgia",318
13293,"Upson County, Georgia",198
13295,"Walker County, Georgia",403
13297,"Walton County, Georgia",1501
13299,"Ware County, Georgia",752
13301,"Warren County, Georgia",52
13303,"Washington County, Georgia",243
13305,"Wayne County, Georgia",665
13307,"Webster County, Georgia",5
13309,"Wheeler County, Georgia",101
13311,"White County, Georgia",279
13313,"Whitfield County, Georgia",13994
13315,"Wilcox County, Georgia",186
13317,"Wilkes County, Georgia",253
13319,"Wilkinson County, Georgia",118
13321,"Worth County, Georgia",233
15001,"Hawaii County, Hawaii",10630
15003,"Honolulu County, Hawaii",78970
15005,"Kalawao County, Hawaii",4
15007,"Kauai County, Hawaii",5523
15009,"Maui County, Hawaii",12417
16001,"Ada County, Idaho",15081
16003,"Adams County, Idaho",4
16005,"Bannock County, Idaho",1971
16007,"Bear Lake County, Idaho",30
16009,"Benewah County, Idaho",58
16011,"Bingham County, Idaho",2213
16013,"Blaine County, Idaho",1865
16015,"Boise County, Idaho",36
16017,"Bonner County, Idaho",325
16019,"Bonneville County, Idaho",3338
16021,"Boundary County, Idaho",185
16023,"Butte County, Idaho",82
16025,"Camas County, Idaho",47
16027,"Canyon County, Idaho",11106
16029,"Caribou County, Idaho",139
16031,"Cassia County, Idaho",2054
16033,"Clark County, Idaho",234
16035,"Clearwater County, Idaho",103
16037,"Custer County, Idaho",32
16039,"Elmore County, Idaho",1488
16041,"Franklin County, Idaho",361
16043,"Fremont County, Idaho",472
16045,"Gem County, Idaho",341
16047,"Gooding County, Idaho",1827
16049,"Idaho County, Idaho",95
16051,"Jefferson County, Idaho",922
16053,"Jerome County, Idaho",3130
16055,"Kootenai County, Idaho",1134
16057,"Latah County, Idaho",1445
16059,"Lemhi County, Idaho",31
16061,"Lewis County, Idaho",62
16063,"Lincoln County, Idaho",502
16065,"Madison County, Idaho",1263
16067,"Minidoka County, Idaho",2000
16069,"Nez Perce County, Idaho",278
16071,"Oneida County, Idaho",55
16073,"Owyhee County, Idaho",985
16075,"Payette County, Idaho",1001
16077,"Power County, Idaho",562
16079,"Shoshone County, Idaho",112
16081,"Teton County, Idaho",930
16083,"Twin Falls County, Idaho",4592
16085,"Valley County, Idaho",36
16087,"Washington County, Idaho",404
17001,"Adams County, Illinois",501
17003,"Alexander County, Illinois",44
17005,"Bond County, Illinois",311
17007,"Boone County, Illinois",3123
17009,"Brown County, Illinois",148
17011,"Bureau County, Illinois",818
17013,"Calhoun County, Illinois",29
17015,"Carroll County, Illinois",248
17017,"Cass County, Illinois",1079
17019,"Champaign County, Illinois",15825
17021,"Christian County, Illinois",95
17023,"Clark County, Illinois",146
17025,"Clay County, Illinois",80
17027,"Clinton County, Illinois",240
17029,"Coles County, Illinois",663
17031,"Cook County, Illinois",578527
17033,"Crawford County, Illinois",176
17035,"Cumberland County, Illinois",87
17037,"DeKalb County, Illinois",4384
17039,"De Witt County, Illinois",144
17041,"Douglas County, Illinois",433
17043,"DuPage County, Illinois",76809
17045,"Edgar County, Illinois",70
17047,"Edwards County, Illinois",3
17049,"Effingham County, Illinois",259
17051,"Fayette County, Illinois",59
17053,"Ford County, Illinois",73
17055,"Franklin County, Illinois",219
17057,"Fulton County, Illinois",583
17059,"Gallatin County, Illinois",0
17061,"Greene County, Illinois",28
17063,"Grundy County, Illinois",605
17065,"Hamilton County, Illinois",1
17067,"Hancock County, Illinois",107
17069,"Hardin County, Illinois",0
17071,"Henderson County, Illinois",27
17073,"Henry County, Illinois",572
17075,"Iroquois County, Illinois",562
17077,"Jackson County, Illinois",2658
17079,"Jasper County, Illinois",118
17081,"Jefferson County, Illinois",346
17083,"Jersey County, Illinois",147
17085,"Jo Daviess County, Illinois",309
17087,"Johnson County, Illinois",96
17089,"Kane County, Illinois",61684
17091,"Kankakee County, Illinois",3575
17093,"Kendall County, Illinois",4154
17095,"Knox County, Illinois",793
17097,"Lake County, Illinois",67230
17099,"LaSalle County, Illinois",2210
17101,"Lawrence County, Illinois",395
17103,"Lee County, Illinois",547
17105,"Livingston County, Illinois",304
17107,"Logan County, Illinois",308
17109,"McDonough County, Illinois",795
17111,"McHenry County, Illinois",14835
17113,"McLean County, Illinois",7479
17115,"Macon County, Illinois",1412
17117,"Macoupin County, Illinois",124
17119,"Madison County, Illinois",3207
17121,"Marion County, Illinois",185
17123,"Marshall County, Illinois",106
17125,"Mason County, Illinois",51
17127,"Massac County, Illinois",52
17129,"Menard County, Illinois",17
17131,"Mercer County, Illinois",42
17133,"Monroe County, Illinois",100
17135,"Montgomery County, Illinois",174
17137,"Morgan County, Illinois",383
17139,"Moultrie County, Illinois",96
17141,"Ogle County, Illinois",1796
17143,"Peoria County, Illinois",5730
17145,"Perry County, Illinois",115
17147,"Piatt County, Illinois",76
17149,"Pike County, Illinois",69
17151,"Pope County, Illinois",5
17153,"Pulaski County, Illinois",36
17155,"Putnam County, Illinois",77
17157,"Randolph County, Illinois",208
17159,"Richland County, Illinois",93
17161,"Rock Island County, Illinois",7434
17163,"St. Clair County, Illinois",3075
17165,"Saline County, Illinois",139
17167,"Sangamon County, Illinois",3175
17169,"Schuyler County, Illinois",75
17171,"Scott County, Illinois",16
17173,"Shelby County, Illinois",52
17175,"Stark County, Illinois",14
17177,"Stephenson County, Illinois",397
17179,"Tazewell County, Illinois",1030
17181,"Union County, Illinois",253
17183,"Vermilion County, Illinois",1049
17185,"Wabash County, Illinois",201
17187,"Warren County, Illinois",870
17189,"Washington County, Illinois",63
17191,"Wayne County, Illinois",73
17193,"White County, Illinois",90
17195,"Whiteside County, Illinois",739
17197,"Will County, Illinois",38185
17199,"Williamson County, Illinois",775
17201,"Winnebago County, Illinois",12620
17203,"Woodford County, Illinois",202
18001,"Adams County, Indiana",108
18003,"Allen County, Indiana",13537
18005,"Bartholomew County, Indiana",5361
18007,"Benton County, Indiana",167
18009,"Blackford County, Indiana",46
18011,"Boone County, Indiana",1113
18013,"Brown County, Indiana",62
18015,"Carroll County, Indiana",321
18017,"Cass County, Indiana",2616
18019,"Clark County, Indiana",2348
18021,"Clay County, Indiana",35
18023,"Clinton County, Indiana",1591
18025,"Crawford County, Indiana",14
18027,"Daviess County, Indiana",581
18029,"Dearborn County, Indiana",247
18031,"Decatur County, Indiana",263
18033,"DeKalb County, Indiana",330
18035,"Delaware County, Indiana",1691
18037,"Dubois County, Indiana",1343
18039,"Elkhart County, Indiana",12656
18041,"Fayette County, Indiana",34
18043,"Floyd County, Indiana",1282
18045,"Fountain County, Indiana",166
18047,"Franklin County, Indiana",104
18049,"Fulton County, Indiana",404
18051,"Gibson County, Indiana",200
18053,"Grant County, Indiana",373
18055,"Greene County, Indiana",60
18057,"Hamilton County, Indiana",11714
18059,"Hancock County, Indiana",476
18061,"Harrison County, Indiana",223
18063,"Hendricks County, Indiana",3607
18065,"Henry County, Indiana",243
18067,"Howard County, Indiana",817
18069,"Huntington County, Indiana",296
18071,"Jackson County, Indiana",1507
18073,"Jasper County, Indiana",618
18075,"Jay County, Indiana",150
18077,"Jefferson County, Indiana",375
18079,"Jennings County, Indiana",104
18081,"Johnson County, Indiana",3021
18083,"Knox County, Indiana",142
18085,"Kosciusko County, Indiana",1923
18087,"LaGrange County, Indiana",638
18089,"Lake County, Indiana",15561
18091,"LaPorte County, Indiana",1785
18093,"Lawrence County, Indiana",324
18095,"Madison County, Indiana",1505
18097,"Marion County, Indiana",55774
18099,"Marshall County, Indiana",1585
18101,"Martin County, Indiana",8
18103,"Miami County, Indiana",191
18105,"Monroe County, Indiana",8781
18107,"Montgomery County, Indiana",977
18109,"Morgan County, Indiana",402
18111,"Newton County, Indiana",329
18113,"Noble County, Indiana",1374
18115,"Ohio County, Indiana",0
18117,"Orange County, Indiana",130
18119,"Owen County, Indiana",33
18121,"Parke County, Indiana",84
18123,"Perry County, Indiana",65
18125,"Pike County, Indiana",14
18127,"Porter County, Indiana",2587
18129,"Posey County, Indiana",82
18131,"Pulaski County, Indiana",46
18133,"Putnam County, Indiana",420
18135,"Randolph County, Indiana",222
18137,"Ripley County, Indiana",262
18139,"Rush County, Indiana",47
18141,"St. Joseph County, Indiana",10028
18143,"Scott County, Indiana",226
18145,"Shelby County, Indiana",717
18147,"Spencer County, Indiana",183
18149,"Starke County, Indiana",187
18151,"Steuben County, Indiana",465
18153,"Sullivan County, Indiana",107
18155,"Switzerland County, Indiana",79
18157,"Tippecanoe County, Indiana",15704
18159,"Tipton County, Indiana",98
18161,"Union County, Indiana",18
18163,"Vanderburgh County, Indiana",2671
18165,"Vermillion County, Indiana",79
18167,"Vigo County, Indiana",2066
18169,"Wabash County, Indiana",220
18171,"Warren County, Indiana",36
18173,"Warrick County, Indiana",873
18175,"Washington County, Indiana",46
18177,"Wayne County, Indiana",1012
18179,"Wells County, Indiana",212
18181,"White County, Indiana",783
18183,"Whitley County, Indiana",110
19001,"Adair County, Iowa",46
19003,"Adams County, Iowa",13
19005,"Allamakee County, Iowa",490
19007,"Appanoose County, Iowa",69
19009,"Audubon County, Iowa",3
19011,"Benton County, Iowa",71
19013,"Black Hawk County, Iowa",3284
19015,"Boone County, Iowa",98
19017,"Bremer County, Iowa",244
19019,"Buchanan County, Iowa",105
19021,"Buena Vista County, Iowa",2237
19023,"Butler County, Iowa",66
19025,"Calhoun County, Iowa",13
